name,Position,club status,Foreign,age at debut,birth quarter,Height,International,Weights,Market value on debut,pro debut?,nation status,assists,goals,awards,FDB rank,Overall,potential,weak_foot,skill_moves,pace/diving,shooting/handling,passing/kicking,dribbling/reflexes,defending/Speed,physical/positioning,success,,Premier apps
Harvey Elliott,Winger,0,0,16.01,3,162,11,65,1.8,1,0,5,11,0,3532,64,87,4,3,75,53,58,69,30,37,0,,10
Izzy Brown,Winger,1,0,16.03,2,180,18,69,0.225,1,1,1,5,0,300,70,80,3,3,74,65,65,75,43,64,0,,15
Rushian Hepburn-Murphy,STR,0,0,16.06,4,173,4,68,0.225,1,1,1,4,1,1351,61,76,3,3,80,62,47,65,26,45,0,,2
Reece Oxford06 ,CDM,0,0,16.07,2,193,21,21,0.675,1,1,2,5,0,5607,66,86,3,2,71,33,50,53,65,67,0,,8
Jack Robinson ,FB,1,0,16.08,1,180,6,70,0.045,1,1,4,3,0,-2000,61,74,3,2,69,37,57,56,62,60,0,,20
Angel Gomes ,CAM,1,0,16.08,4,159,21,63,0.15,1,1,10,22,0,-581,63,79,4,3,80,59,58,68,20,42,0,,5
Jonathan Leko,Winger,0,1,16.11,3,182,24,71,0.105,1,1,7,5,0,3311,64,82,4,3,88,63,47,68,23,61,0,,14
Patrick Roberts ,Winger,0,0,17.01,2,167,16,69,0.5,1,1,3,11,0,1326,67,83,2,3,77,55,64,76,25,36,0,,6
Adam Armstrong,STR,0,0,17.01,2,161,18,62,0.225,1,1,5,29,0,2629,60,80,3,2,72,62,54,62,30,56,0,,38
Ben Woodburn05,Winger,1,0,17.01,1,173,14,67,0.445,1,0,13,20,1,8719,61,78,4,3,81,61,53,61,21,53,0,,6
Callum Hudson-Odoi,Winger,1,0,17.02,1,172,24,74,2.25,1,1,9,29,1,13818,63,85,3,3,78,58,61,64,31,61,1,,72
Ethan Ampadu,CB,1,0,17.02,1,180,8,71,3.5,1,0,0,2,0,5604,58,84,3,2,60,29,51,56,56,61,0,,26
Raheem Sterling ,Winger,1,0,17.03,2,168,20,71,2.25,1,1,9,7,1,24096,76,84,3,4,91,63,66,81,46,50,1,,320
Serge Gnabry ,Winger,1,1,17.03,4,171,17,67,0.45,1,1,3,3,0,1625,70,82,3,3,84,60,65,75,43,63,1,,11
Luke Shaw ,FB,0,0,17.03,4,180,21,77,1.5,1,1,2,2,0,2507,58,83,3,2,70,31,49,60,58,62,1,,208
Ainsley Maitland-Niles  03,Winger,1,0,17.03,4,175,0,71,0.225,1,1,2,0,0,1552,64,82,4,3,78,55,60,66,39,58,1,,87
Oliver Shenton ,CAM,0,0,17.03,1,175,0,73,0.02,1,1,2,5,0,2051,62,74,3,3,60,54,63,66,50,55,0,,1
Joel Asoro,STR,0,1,17.03,3,175,27,75,0.225,1,0,1,26,1,1648,63,80,3,3,88,61,51,70,23,53,0,,1
Bukayo Saka ,Winger,1,0,17.03,1,178,30,72,3.4,1,1,16,20,0,3696,65,86,4,3,84,61,58,67,37,60,1,,97
Moussa Dembélé ,STR,0,1,17.04,4,187,17,79,0.225,1,1,1,16,0,-1079,64,80,3,3,81,62,48,64,28,63,0,,2
Tyler Roberts,STR,0,0,17.04,2,179,11,77,3.6,1,0,6,13,0,7822,62,80,3,3,78,61,51,64,25,55,0,,51
Adam Henley,FB,0,0,17.05,4,178,14,70,0.04,1,0,6,5,0,-725,66,75,3,2,65,33,57,57,69,67,0,,7
Jordon Ibe ,Winger,1,0,17.05,2,169,2,76,0.45,1,1,9,6,0,3682,59,75,4,2,80,59,42,65,21,56,1,,119
Josh Tymon,FB,0,0,17.05,3,180,3,70,0.05,1,1,0,2,0,3057,58,76,2,2,65,28,47,60,56,51,0,,8
Rekeem Harper ,CM,0,0,17.05,3,183,1,72,0.09,1,1,0,4,0,138,61,84,3,3,59,48,59,59,53,49,0,,3
Mason Greenwood,Winger,1,0,17.05,1,180,11,74,6.3,1,0,10,41,1,105,66,86,5,3,77,65,60,66,34,60,1,,83
Josh McEachran  ,CM,1,0,17.06,3,178,17,68,0.9,1,1,5,1,1,6705,67,77,3,3,73,63,66,67,38,49,0,,15
Phil Foden ,CAM,1,0,17.06,3,166,31,62,2.5,1,1,13,36,1,3495,65,84,3,3,74,56,62,65,50,44,1,,97
Michael Obafemi,STR,0,1,17.06,4,58,4,71,0.45,1,0,7,25,0,29,62,77,3,2,71,60,48,60,23,46,0,,32
Lennard Sowah,FB,0,1,17.07,4,184,2,72,0.09,1,1,1,0,0,1555,62,78,3,2,77,49,66,63,59,63,0,,5
Andre Green,Winger,0,0,17.07,4,180,0,68,0.09,1,1,8,7,0,468,63,79,3,3,79,58,57,65,36,51,0,,7
Liam Delap,STR,1,0,17.07,2,186,13,74,0.45,1,1,7,22,0,-5,63,84,3,2,78,62,47,61,23,56,0,,2
Ross Barkley ,CAM,0,0,17.08,2,183,26,79,0.27,1,1,3,11,1,3945,69,80,4,3,79,61,68,67,43,74,1,,232
Louis Moult,STR,0,0,17.09,3,183,0,70,0.045,1,1,0,7,0,-498,58,72,3,1,59,45,55,31,41,60,0,,1
James Ward-Prowse  ,CM,0,0,17.09,1,173,7,70,0.45,1,1,1,3,1,3797,64,84,3,3,69,49,61,68,51,61,1,,305
Tom Davies ,CM,0,0,17.09,4,178,27,69,0.45,1,1,3,2,0,2845,50,57,2,2,68,27,29,34,50,63,1,,136
Bruno Andrade,Winger,0,1,17.1,1,175,0,66,0.045,1,0,0,0,0,361,58,78,3,3,73,54,61,69,43,48,0,,1
Nathan Aké ,CB,1,1,17.1,2,180,46,75,1.35,1,1,4,10,1,2233,59,84,3,2,76,52,58,64,60,60,1,,170
Chuba Akpom ,STR,1,0,17.11,1,181,22,74,0.225,1,1,3,21,0,142,59,75,3,2,87,57,51,61,29,61,0,,4
James Garner ,CDM,1,0,17.11,3,182,16,63,0.115,1,1,9,5,0,-16,67,84,3,2,67,61,63,63,63,64,0,,2
Troy Parrott,STR,0,0,17.11,2,184,15,72,1.35,1,1,10,34,0,329,64,85,4,3,76,64,53,62,26,58,0,,2
Mark Cullen,STR,0,0,18,3,175,0,70,0.045,1,1,0,3,0,1001,59,65,2,3,69,56,50,58,36,58,0,,3
Alex Oxlade-Chamberlain  ,CM,1,0,18,4,174,4,74,12.42,0,1,9,10,1,16425,69,82,3,3,89,57,63,71,27,55,1,,226
Anthony Forde06 ,Winger,0,0,18,1,186,1,69,0.09,1,1,10,5,0,911,60,72,2,3,70,54,54,65,31,47,0,,6
Kerim Frei09 00,Winger,0,1,18,1,171,7,66,0.225,1,0,5,9,0,2500,59,71,3,3,77,52,59,53,59,55,0,,23
Karim Rekik,CB,1,1,18,2,186,26,77,0.45,0,1,6,4,0,1584,73,84,4,3,73,38,55,59,72,77,0,,1
Tom James,FB,0,0,18,3,180,0,72,0.045,1,0,6,0,0,-369,58,64,3,2,58,31,34,41,62,50,0,,1
Sam Field ,CM,0,0,18,3,191,1,80,0.225,1,1,2,4,0,1366,72,62,3,3,64,49,60,62,52,53,0,,22
Jarrad Branthwaite,CB,0,0,18,4,195,0,79,0.225,1,1,1,4,0,3964,49,64,2,2,59,19,27,26,48,55,0,,10
Brandon Pierric,Winger,0,0,18,2,182,0,68,0.18,1,0,2,3,0,250,60,82,2,3,80,56,52,62,24,60,0,,2
Phil Jones,CB,0,0,18.01,2,185,4,81,0.9,1,1,0,1,0,2381,58,78,3,1,65,38,57,51,57,64,1,,204
Declan John,FB,0,0,18.01,4,178,3,74,0.225,1,0,2,3,0,-299,65,76,3,2,84,50,61,69,64,63,0,,20
Timothy Fosu-Mensah,FB,1,1,18.01,2,185,32,81,0.9,1,0,9,13,0,247,74,83,4,3,82,60,64,65,75,77,0,,49
Reiss Nelson00,Winger,1,0,18.01,2,175,24,66,0.36,1,1,12,40,1,10721,59,83,3,3,81,53,46,70,29,41,0,,23
Tyrese Campbell,STR,0,0,18.01,2,185,6,69,0.135,1,1,1,11,0,17,64,82,4,2,78,62,53,60,33,68,0,,4
Aiden O'Neill ,CM,0,1,18.01,4,178,0,68,0.09,1,0,3,3,0,904,62,76,2,2,65,47,58,59,49,56,0,,3
Dion Pereira,Winger,0,1,18.01,3,180,0,71,0.09,1,1,0,2,0,-1648,65,73,3,3,78,64,58,70,34,51,0,,1
Matty Daly,CM,0,0,18.01,3,175,8,68,0.225,1,1,0,2,0,-805,59,80,3,2,56,54,60,61,48,48,0,,2
Gabriel Martinelli,Winger,1,1,18.01,4,176,0,70,4.5,0,1,2,6,1,51777,68,83,2,2,85,62,59,72,25,55,1,,57
Louis Laing A,CB,0,0,18.02,3,188,12,78,0.045,1,1,0,0,0,-849,58,74,3,2,68,31,53,63,58,65,0,,1
Abdul Razak01 ,CM,0,1,18.02,1,179,0,70,0.105,1,0,25,13,0,1000,54,68,3,3,69,47,47,54,22,50,0,,5
Adam Campbell,STR,0,0,18.02,2,165,4,67,0.115,1,1,18,13,0,-149,59,80,3,2,83,57,43,71,21,47,0,,3
Sam Gallagher 04,STR,0,1,18.02,1,192,3,77,0.45,1,0,0,3,0,-745,63,75,2,2,65,62,43,59,31,68,0,,1
Joe Gomez ,CB,1,0,18.02,3,188,25,80,2.25,0,1,1,1,1,2279,55,84,3,2,73,29,40,53,55,64,1,,87
Manu García ,CAM,1,1,18.02,2,166,2,65,0.675,1,1,5,3,0,4015,61,81,3,3,69,55,57,66,31,36,0,,1
Trent Alexander-Arnold,FB,1,0,18.02,1,175,17,72,1.35,1,1,4,10,1,8162,68,80,3,2,82,56,67,65,60,65,1,,161
Ryan Sessegnon ,FB,0,0,18.02,3,178,30,76,7.2,0,1,10,27,1,33645,67,86,3,3,82,59,61,67,60,60,0,,56
Oliver Skipp ,CDM,0,0,18.02,1,175,16,75,0.9,1,1,3,2,0,72,64,83,3,2,65,42,59,59,59,65,0,,33
Billy Gilmour ,CM,1,0,18.02,4,166,24,63,2.25,1,0,2,4,0,377,62,84,3,3,59,50,65,65,45,42,0,,35
Fábio Silva,STR,0,1,18.02,4,185,37,69,10.8,0,1,6,25,0,31274,68,85,4,2,74,67,45,72,22,64,0,,54
Kayne Ramsay,FB,0,0,18.02,1,177,0,68,0.105,1,1,9,7,0,-325,60,75,2,2,71,33,42,56,58,65,0,,2
Romelu Lukaku,STR,1,1,18.03,3,192,20,87,13.5,0,1,13,37,1,119227,74,88,3,4,81,77,64,68,27,79,1,,278
Jon Flanagan ,FB,1,0,18.03,2,174,2,68,0.225,1,1,2,0,0,921,57,72,3,2,64,31,41,43,60,59,0,,46
Marcus Rashford,Winger,1,0,18.03,1,182,4,73,2.7,1,1,2,7,1,1046,69,85,3,3,86,66,58,72,29,58,1,,204
Reece Grego-Cox02 ,Winger,0,0,18.03,1,178,6,67,0.09,1,1,0,2,0,102,60,74,3,2,78,60,48,59,25,48,0,,4
Tino Anjorin ,CAM,1,1,18.03,1,186,19,72,0.225,1,1,11,23,1,769,58,80,3,3,67,48,59,56,44,60,0,,1
Connor Wickham,STR,0,0,18.04,3,187,26,80,3.6,1,1,4,26,1,6993,66,83,4,2,73,56,53,71,21,73,1,,120
George Thorne ,CDM,0,0,18.04,2,188,25,72,0.09,1,1,1,1,0,41,58,71,3,2,56,51,59,54,43,48,0,,9
Josh Vela04 ,CM,0,1,18.04,2,181,0,71,0.045,1,1,4,12,0,-2546,66,79,3,3,71,47,67,71,49,63,0,,3
Fikayo Tomori09,CB,1,0,18.04,2,182,1,78,0.225,1,1,2,3,1,162,61,78,3,2,73,33,41,42,61,62,0,,17
Declan Rice ,CDM,0,0,18.04,2,188,6,77,1.8,1,1,1,0,1,428,56,70,2,2,64,29,34,41,56,62,1,,165
Max Thompson,Winger,0,0,18.04,2,182,0,66,0.045,1,1,1,2,0,100,61,76,3,2,67,63,48,58,26,51,0,,1
Grant Hanley,CB,0,0,18.05,1,187,7,82,0.45,0,1,2,0,0,1725,65,72,3,3,62,53,63,44,63,72,1,,79
Nick Powell ,CAM,1,0,18.05,3,180,25,76,0.225,0,1,8,22,0,1612,65,79,3,2,75,58,62,65,34,59,0,,6
Adam Mitchell A,Winger,0,0,18.05,2,170,0,63,0.02,1,1,1,1,0,-2954,59,69,3,3,77,57,51,66,28,50,0,,1
James Wilson,STR,1,0,18.05,2,180,3,69,0.225,1,1,4,23,1,183,64,66,2,2,68,29,49,56,64,69,0,,15
Jordan Rossiter  ,CDM,1,0,18.05,3,175,6,67,0.115,1,1,3,1,0,1661,67,80,4,2,65,47,61,64,62,63,0,,1
Brahim Díaz ,CAM,1,1,18.05,4,167,21,65,0.15,1,1,14,25,1,4741,64,82,4,3,78,55,55,71,23,36,1,,5
Armando Broja,STR,1,1,18.05,1,190,10,79,1.98,0,1,1,20,0,19,61,84,3,3,71,59,45,58,28,63,0,,33
Dwight McNeil,Winger,0,0,18.05,1,183,0,76,2.25,0,1,0,1,0,1076,62,76,2,2,71,57,55,64,31,58,1,,134
Milos Veljkovic,CB,0,1,18.06,1,188,16,79,0.05,1,1,7,4,1,199,57,70,3,2,59,28,37,38,58,60,0,,1
Calum Chambers ,CB,0,0,18.06,2,182,24,81,1.8,1,1,3,8,0,1391,71,83,3,2,68,50,65,72,71,71,1,,162
Mikael Mandron01 A,STR,0,1,18.06,1,191,0,77,0.09,1,1,0,6,1,-2548,60,75,2,2,64,60,57,36,18,68,0,,3
Josh Onomah ,CM,0,0,18.06,3,182,25,75,0.9,1,1,18,25,0,-237,55,76,3,3,77,42,49,69,26,38,0,,24
Kieran Dowell00 ,CAM,0,0,18.06,1,183,11,73,0.45,1,1,5,10,0,1250,65,81,2,3,73,64,59,68,46,50,0,,21
Callum Connolly ,CDM,0,0,18.06,1,183,23,67,0.045,1,1,2,5,0,51,57,72,2,2,63,38,51,54,56,55,0,,1
Jake Clarke-Salt,CB,1,0,18.06,1,186,11,76,0.09,1,1,1,6,0,213,61,79,3,2,67,33,42,39,63,57,0,,1
Lasse Sörensen ,CM,0,1,18.06,1,185,22,73,0.05,1,1,9,6,0,13,62,81,3,2,64,50,61,59,60,58,0,,1
Morgan Gibbs-White ,CM,0,0,18.06,2,171,16,68,2.7,1,1,5,6,0,7153,56,79,3,3,68,44,53,64,43,45,0,,46
Aaron Rowe,FB,0,0,18.06,1,172,0,69,0.05,1,1,7,3,0,-498,58,75,2,2,75,52,52,64,24,44,0,,2
Jonjo Shelvey ,CM,1,0,18.07,2,181,13,75,1.8,0,1,8,10,1,16276,71,81,3,2,70,62,72,74,57,67,1,,267
Nico Yennaris  ,CDM,1,1,18.07,3,171,10,67,0.145,0,1,7,2,0,901,60,68,3,2,81,37,57,64,61,52,0,,1
Adnan Januzaj,Winger,1,1,18.07,2,182,0,74,1.8,0,1,12,10,0,5150,75,87,4,4,82,63,72,81,22,50,0,,75
Jack Grealish,CAM,0,0,18.07,1,178,19,77,0.9,1,1,10,12,1,1686,66,80,3,4,74,55,61,75,23,42,1,,122
Jerome Sinclair ,STR,1,0,18.07,1,173,9,71,0.09,1,1,1,16,0,316,59,74,4,2,77,58,46,62,37,58,0,,11
Reece Burke,CB,0,0,18.07,1,185,2,80,0.1,1,1,2,5,0,179,60,74,2,2,64,27,43,49,60,66,0,,9
Tammy Abraham,STR,1,0,18.07,1,190,19,75,0.45,1,1,8,42,1,658,69,85,3,2,78,67,50,61,26,65,1,,89
Joe Willock ,CAM,1,0,18.07,4,179,8,72,2.5,1,1,17,19,0,10293,61,79,3,3,71,44,58,63,53,61,1,,83
Rafael Camacho,Winger,1,1,18.07,3,170,31,66,0.1,1,1,9,26,1,1305,62,81,3,3,74,56,58,65,44,47,0,,1
José Pozo ,CAM,1,1,18.08,3,171,10,65,0.14,1,1,9,15,0,71,71,76,3,2,65,62,72,70,59,67,0,,1
Josh Murphy City,Winger,0,0,18.08,2,177,6,70,0.9,1,1,5,4,1,-3791,61,76,3,2,66,27,82,65,52,49,0,,35
Dominic Samuel 01,STR,0,1,18.08,3,182,1,74,0.034,1,1,3,6,0,-899,57,68,3,3,53,28,68,59,42,56,0,,1
Dan Potts,FB,0,0,18.08,3,173,1,69,0.225,1,1,3,0,0,-1593,62,75,3,3,59,65,69,27,49,58,0,,2
Elliot Lee06,STR,0,0,18.08,2,180,0,72,0.075,1,1,1,6,0,426,57,74,3,2,50,28,66,61,38,55,0,,1
Jake Hesketh ,CAM,0,0,18.08,3,168,0,67,0.09,1,1,1,3,0,-898,59,76,3,2,69,46,64,63,46,43,0,,2
Tom Edwards,FB,0,0,18.08,2,176,0,70,0.09,1,1,3,2,0,-58,61,80,4,2,61,61,68,42,46,59,0,,3
Tommy Doyle07 ,CM,1,0,18.08,1,172,16,66,0.105,1,1,5,21,0,1067,62,85,3,2,63,51,60,47,62,61,0,,16
eric García,CB,1,1,18.08,2,180,13,72,1.53,0,1,1,3,1,161,66,83,4,3,59,65,58,34,53,64,1,,19
Ki-Jana Hoever,FB,0,1,18.08,2,183,31,70,3.23,1,1,2,7,0,2417,62,85,3,2,64,61,72,36,57,62,0,,20
Abdisalam Ibrahim ,CM,0,0,18.09,3,185,23,71,0.09,1,1,0,0,0,-218,68,77,3,3,76,55,80,59,69,74,0,,1
Ángelo Henríquez,STR,0,1,18.09,3,171,0,65,4.5,0,1,3,28,0,1051,70,73,4,3,67,69,77,68,60,61,0,,4
Sheyi Ojo ,Winger,1,0,18.09,4,176,34,75,0.45,1,1,0,7,0,10238,63,80,3,2,66,30,84,59,58,55,0,,8
Rolando Aarons06,Winger,0,0,18.09,1,173,0,71,0.225,1,1,1,5,0,100,65,78,3,2,85,55,61,73,31,43,0,,18
Cameron Borthwick-Jackson,FB,1,0,18.09,2,183,1,68,0.45,1,1,5,3,0,458,70,82,3,2,64,69,76,43,65,64,0,,10
Eddie Nketiah,STR,1,0,18.09,3,175,12,73,1.2,1,1,4,35,1,11282,59,80,3,2,59,19,76,57,45,50,1,,59
Josh Martin,Winger,0,0,18.09,1,176,0,69,0.105,1,1,3,3,0,7,59,77,3,2,60,28,71,54,57,44,0,,5
João Pedro,STR,0,1,18.09,1,182,0,76,13.5,0,1,2,7,1,33494,72,85,3,2,79,32,85,64,65,50,0,,31
Ignasi Miquel,CB,1,1,18.1,1,189,9,77,0.09,0,1,2,12,1,1200,66,77,3,2,57,66,66,24,53,70,0,,5
Suso09 ,CM,1,1,18.1,1,174,21,63,0.45,1,1,12,22,1,11900,62,79,3,2,68,25,75,61,62,50,1,,14
Rob Hall,Winger,0,0,18.1,1,173,27,67,0.225,1,1,10,24,0,2982,63,76,4,2,62,20,82,60,42,57,0,,1
Alex Nimely,STR,1,0,18.1,3,180,3,69,0.045,1,1,1,10,0,750,61,77,2,3,53,34,73,64,50,62,0,,1
Paul Pogba ,CM,1,1,18.1,3,192,33,82,3.15,1,1,7,7,1,3719,60,80,4,3,57,54,73,35,54,66,1,,157
Michael Harriman,FB,0,0,18.1,1,168,0,69,0.075,1,1,3,2,0,-1198,53,71,2,1,29,47,67,18,28,65,0,,2
Gaël Bigirimana ,CM,0,1,18.1,1,175,0,75,0.675,0,1,3,3,0,159,60,76,3,2,66,45,76,37,65,51,0,,13
Mats Möller Daehli ,CAM,0,1,18.1,3,172,24,71,1.35,0,1,0,3,1,8079,71,84,3,2,76,23,79,52,68,44,0,,22
John Swift  ,CM,1,0,18.1,4,182,22,68,0.225,1,1,19,17,0,376,59,73,3,3,57,47,65,58,58,66,0,,1
Harrison Reed  ,CDM,0,0,18.1,2,178,0,73,0.675,1,1,5,1,0,1354,62,77,3,3,64,51,69,52,65,63,0,,48
Kelechi Iheanacho,STR,1,1,18.1,1,178,12,78,0.675,1,1,4,16,1,12215,67,85,3,2,68,21,85,68,55,63,1,,168
Curtis Jones ,CM,1,0,18.1,2,179,20,69,1.35,1,1,8,28,1,36,61,82,4,3,66,46,63,56,60,55,0,,45
Adam Idah,STR,0,0,18.1,2,186,45,76,0.9,1,1,6,46,1,2218,63,84,3,2,58,21,75,64,38,62,0,,29
Michael Folivi,STR,0,1,18.1,2,178,0,70,0.09,1,1,4,4,0,-178,61,79,3,2,62,21,71,59,39,57,0,,1
Anthony Gordon,Winger,0,0,18.1,2,177,17,74,1.35,1,1,10,26,1,8266,59,78,3,3,61,29,72,56,52,50,1,,49
James Hurst,CB,0,0,18.11,2,183,3,79,0.045,1,1,1,2,0,-49,58,77,4,2,50,60,71,44,52,57,0,,14
Will Keane,STR,0,0,18.11,2,188,27,74,0.27,1,1,8,31,1,-712,59,69,3,2,61,38,71,58,39,53,0,,7
Lucas Piazon  ,CAM,1,1,18.11,2,182,15,68,4.5,1,1,3,15,0,278,61,85,3,2,65,31,76,57,55,52,0,,1
Muamer Tankovic ,Winger,0,1,18.11,2,179,34,72,0.45,1,1,2,23,0,322,64,78,3,2,70,28,71,63,58,61,0,,3
Pedro Chirivella  ,CDM,1,1,18.11,3,170,9,65,0.01,1,1,6,4,0,-195,58,67,3,2,57,57,54,42,57,57,0,,1
Ryan Seager ,STR,0,0,18.11,2,176,5,64,0.045,1,1,2,20,1,450,59,74,3,2,72,61,48,57,26,54,0,,1
Ovie Ejaria08 ,CM,0,1,18.11,1,182,0,68,0.45,1,1,4,10,0,-10,66,81,4,4,69,44,73,57,64,65,0,,2
Ben Wilmot,CB,0,0,18.11,1,188,13,80,0.09,1,1,2,5,0,2563,49,64,2,3,35,47,61,29,33,61,0,,2
Indiana Vassilev,Winger,0,1,18.11,2,173,36,67,0.225,1,1,4,13,0,-10,60,77,2,1,67,32,63,65,52,51,0,,4
Andreas Weimann,Winger,0,1,19,4,179,20,75,0.225,1,1,3,16,1,1406,66,76,3,2,63,29,72,70,59,61,1,,113
Fabio Daprelà,CB,0,1,19,2,183,35,78,1.08,0,1,4,15,0,2065,60,75,3,2,54,63,71,35,54,60,0,,7
Haris Vuckic,STR,0,1,19,4,186,26,77,0.113,0,1,3,12,0,1616,64,72,3,3,62,53,71,62,54,69,0,,34
Sammy Ameobi,Winger,0,1,19,3,190,1,76,0.45,0,1,4,8,0,-1929,64,68,3,3,59,27,68,64,42,55,0,,54
Tom Cairney ,CM,0,0,19,2,186,2,71,0.09,1,1,0,3,0,571,68,83,3,2,66,54,73,62,67,65,0,,52
Harry Kane,STR,0,0,19,4,186,17,83,0.45,0,1,12,24,1,14914,69,77,4,2,67,28,70,67,59,52,1,,282
Samir Carruthers ,CM,0,0,19,3,173,3,64,0.125,1,1,6,4,0,75,60,80,3,2,64,37,63,56,60,52,0,,3
Ruben Loftus-Cheek  ,CDM,1,0,19,2,190,21,85,1.8,1,1,6,11,1,1389,56,76,3,2,72,43,55,54,41,60,1,,132
Nabil Bentaleb ,CDM,0,1,19,1,186,1,77,0.45,0,1,2,6,0,-17,75,83,3,3,75,67,63,65,73,73,0,,58
Matt Targett ,FB,0,0,19,1,176,5,75,1.8,1,1,3,4,0,2805,59,76,4,2,69,51,59,63,38,42,1,,142
Cole Kpekawa,CB,0,1,19,3,191,0,78,0.09,1,1,0,2,0,225,60,70,3,2,55,59,72,50,55,65,0,,1
Domingos Quina08 ,CM,0,1,19,1,173,50,74,0.99,0,1,2,2,1,1907,62,82,3,2,69,26,73,49,58,48,0,,12
Levi Lumeka,Winger,0,1,19,1,170,0,67,0.155,0,1,0,0,0,-1488,56,73,3,2,59,22,81,50,48,50,0,,1
Jordon Mutch ,CM,0,1,19.01,2,188,7,76,0.225,1,1,6,4,0,256,65,79,3,2,58,59,64,56,64,68,0,,78
Victor Moses02 ,Winger,0,0,19.01,2,172,24,77,2.07,0,1,6,21,1,11767,73,83,3,2,79,31,82,67,61,66,1,,220
Dedryck Boyata,CB,0,1,19.01,1,188,12,80,0.9,1,1,2,5,0,100,72,83,4,2,47,73,71,34,54,76,0,,27
