name,Position,club status,Foreign,age at debut,birth quarter,Height,International,Weights,Market value on debut,pro debut?,nation status,assists,goals,awards,FDB rank,Overall,potential,weak_foot,skill_moves,pace/diving,shooting/handling,passing/kicking,dribbling/reflexes,defending/Speed,physical/positioning,success,,Premier apps
Craig Lynch A,Winger,0,0,19.01,3,183,0,70,0.045,1,1,3,5,0,-1748,53,59,2,3,54,24,60,62,45,45,0,,2
Josh Morris ,Winger,0,0,19.01,1,178,0,68,0.045,1,1,7,8,0,-8,59,71,2,1,58,57,66,52,54,52,0,,6
Ryo Miyaichi04,Winger,0,1,19.01,2,182,13,64,1.8,0,1,8,11,0,4637,71,83,3,2,78,34,94,54,60,44,0,,17
Andreas Christensen ,CB,1,1,19.01,3,187,43,81,1.35,0,1,7,7,1,2535,58,67,3,1,54,25,45,40,57,64,1,,93
Brendan Galloway,FB,0,0,19.01,3,188,15,72,0.225,1,1,4,12,0,-1881,65,80,3,2,54,25,45,40,57,64,0,,20
Jason McCarthy ,FB,0,0,19.01,1,186,0,74,0.045,1,1,2,2,0,82,61,75,3,3,41,62,57,30,34,65,0,,1
Julien Ngoy,STR,0,1,19.01,1,185,5,75,0.115,1,1,1,4,0,-1008,61,74,3,3,58,22,78,56,49,62,0,,6
Beni Baningime ,CM,0,1,19.01,1,178,0,70,0.45,1,1,9,4,0,29,67,81,3,2,65,65,52,45,63,59,0,,8
Ben Johnson,FB,0,0,19.01,2,182,0,79,0.9,1,1,3,4,0,-45,55,71,3,2,55,52,67,29,44,52,0,,38
Luke Thomas,FB,0,0,19.01,4,172,8,73,0.9,1,1,6,13,0,45,67,77,3,2,71,35,82,52,58,59,0,,39
Brandon Williams,FB,1,0,19.01,1,176,2,67,1.15,1,1,6,14,0,76,75,85,3,2,73,71,81,57,64,69,0,,47
Danny Wilson,CB,0,1,19.02,2,187,26,79,0.9,0,1,2,4,0,2106,61,70,3,3,27,62,55,26,32,67,0,,2
Greg Cunningham,FB,1,0,19.02,2,183,6,70,0.045,1,1,1,2,0,626,66,76,4,2,70,63,75,62,59,70,0,,9
Apostolos Vellios,STR,0,1,19.02,2,191,13,80,0.54,0,1,1,13,0,-1719,69,81,3,2,64,34,74,68,50,73,0,,22
Pajtim Kasami  ,CM,0,1,19.02,4,188,29,79,1.89,0,1,5,16,0,6056,69,78,3,2,68,55,68,44,69,74,0,,28
Cameron Lancaster,STR,0,0,19.02,1,184,0,71,0.045,0,1,0,0,0,-656,62,68,3,2,60,47,74,60,41,60,0,,1
Callum Robinson,STR,0,0,19.02,2,178,22,74,0.225,1,1,13,25,1,11731,60,77,3,2,59,27,75,61,34,55,1,,48
Andreas Pereira ,CAM,1,1,19.02,2,175,27,73,0.45,0,1,4,20,0,26,55,78,3,2,65,44,55,62,27,42,0,,45
Jonjoe Kenny,FB,0,0,19.02,2,173,26,69,0.225,1,1,3,6,1,1076,57,72,3,2,51,57,58,33,50,61,0,,50
Aleix García ,CM,1,1,19.02,4,171,10,66,0.5,1,1,12,10,0,-1061,63,81,2,3,65,38,62,52,64,47,0,,4
Tahith Chong,Winger,1,0,19.02,2,183,48,68,0.9,1,1,21,15,0,2,65,85,2,1,67,39,76,56,62,63,0,,5
Ademola Lookman er,Winger,0,0,19.02,1,168,20,74,7.92,0,1,3,14,1,18110,61,80,3,2,65,17,84,59,40,55,1,,96
Neco Williams,FB,1,0,19.02,3,173,19,70,1.3,1,1,10,13,0,4209,67,85,2,3,68,63,75,36,60,55,0,,13
Tariq Lamptey,FB,0,0,19.02,1,159,18,64,1.08,1,1,10,4,0,349,66,84,2,1,66,60,82,33,58,51,0,,50
Conor McAleny,STR,0,0,19.03,4,176,0,71,0.075,1,1,1,9,0,-448,58,76,3,2,60,22,70,61,58,50,0,,2
Zeki Fryers,FB,1,0,19.03,1,183,15,74,0.45,0,1,1,3,0,13,56,74,3,2,51,54,73,23,46,63,0,,18
Jordan Slew,STR,0,0,19.03,1,178,0,73,0.225,1,1,0,8,0,-718,61,74,3,3,59,26,91,59,39,56,0,,1
Cauley Woodrow ,STR,0,0,19.03,2,184,3,71,0.225,1,1,3,18,0,2977,65,77,3,3,63,27,76,62,50,64,0,,6
John Stones,CB,0,0,19.03,3,188,3,83,3.15,0,1,1,1,1,10835,68,75,4,2,58,70,67,51,57,69,1,,198
Dele Alli ,CAM,0,0,19.03,3,186,15,75,4.5,0,1,15,24,1,27325,55,86,3,2,61,49,64,54,53,60,1,,192
Sergi Canós ,Winger,1,1,19.03,2,172,18,75,0.675,1,1,8,12,0,7088,65,73,3,2,70,32,74,63,59,50,0,,32
Darnell Furlong,FB,0,0,19.03,1,183,0,75,0.09,1,1,2,2,0,-474,64,75,3,2,62,63,67,36,48,62,0,,38
Mattéo Guendouzi ,CDM,1,1,19.03,3,180,11,73,2.25,0,1,4,8,0,7751,62,74,3,2,63,53,63,49,62,51,0,,57
Brandon Mason,FB,0,0,19.03,1,173,0,65,0.045,1,1,8,4,0,-27,54,70,3,2,55,49,78,38,44,49,0,,2
Jason Lowe ,CDM,0,0,19.04,1,183,0,73,0.45,0,1,4,1,0,-273,60,70,3,2,54,55,65,62,62,73,0,,33
Reece Wabara,FB,1,0,19.04,2,183,0,80,0.045,1,1,3,6,0,-666,56,68,3,2,39,57,68,20,38,54,0,,1
Andre Wisdom ,FB,1,0,19.04,3,182,27,77,0.45,1,1,2,4,1,32,65,72,3,2,39,55,67,26,32,61,0,,48
Johnny Gorman,Winger,0,0,19.04,1,178,19,68,0.045,1,1,3,6,0,-738,62,74,2,3,64,39,69,49,59,52,0,,1
Diego Poyet ,CM,0,1,19.04,3,180,10,71,0.45,0,1,3,2,0,1166,62,74,2,1,63,40,52,57,59,43,0,,3
Ben Davies,FB,0,0,19.04,3,179,3,77,2.7,0,1,0,0,0,11498,67,79,3,2,65,68,73,48,64,64,1,,248
Bersant Celina ,CAM,1,1,19.04,1,177,16,62,0.45,1,1,3,19,0,274,66,82,3,3,69,19,70,65,61,56,0,,1
Josh Cullen ,CM,0,0,19.04,3,175,1,70,0.225,1,1,8,4,0,274,57,68,3,3,63,53,68,47,56,57,0,,3
Lukas Nmecha04,STR,0,1,19.04,2,185,27,74,0.45,1,1,8,53,1,132,66,83,3,2,65,28,76,65,40,66,0,,2
Rúben Vinagre,FB,0,1,19.04,3,173,18,72,0.45,0,1,23,14,1,12642,62,77,3,2,63,59,68,48,59,60,0,,35
Emile Smith Rowe ,CAM,1,0,19.04,4,179,16,72,3.6,0,1,8,24,1,15121,65,83,3,2,68,32,79,63,59,47,1,,55
Jacob Ramsey ,CM,0,0,19.04,3,179,10,72,1.05,1,1,10,22,0,11752,53,76,3,2,53,40,60,38,55,46,1,,56
Jeremy Ngakia,FB,0,1,19.04,1,184,0,75,0.225,1,1,5,21,0,9,64,78,4,2,62,64,49,62,61,60,0,,21
Rayan Aït-Nouri,FB,0,1,19.04,4,180,5,69,13.95,0,1,3,0,0,8618,64,82,2,3,65,62,68,42,58,50,1,,44
Shane Ferguson-,Winger,0,0,19.05,4,178,17,68,0.045,1,1,7,1,0,596,58,71,2,1,60,21,69,51,50,39,0,,23
Nathan Redmond City,Winger,0,0,19.05,3,166,43,68,3.6,0,1,11,13,1,17529,70,83,2,3,75,26,86,63,63,47,1,,263
Gerard Deulofeu,Winger,0,1,19.05,3,170,85,69,10.8,0,1,13,58,1,41504,75,82,2,1,84,25,91,66,60,58,1,,147
Paddy McNair,CB,1,0,19.05,3,183,5,79,0.225,1,1,1,4,0,-8,65,77,3,2,59,68,56,39,52,58,0,,33
Rhys Healey,STR,0,0,19.05,2,180,0,73,0.075,1,1,2,12,0,223,58,72,3,2,55,28,78,59,41,48,0,,4
Alex Iwobi ,Winger,1,1,19.05,3,178,11,73,11.5,1,1,7,17,0,4393,70,82,3,3,76,28,77,59,60,64,1,,183
Rees Greenwood00 ,CAM,0,0,19.05,2,176,0,68,0.023,1,1,5,3,0,1949,60,76,3,3,63,21,77,56,52,47,0,,1
Axel Tuanzebe04,CB,1,0,19.05,1,185,10,84,0.9,1,1,3,2,1,-150,67,80,3,2,64,62,65,47,61,63,0,,28
Moise Kean,STR,0,1,19.05,2,179,43,70,13.5,0,1,5,80,1,23776,72,87,4,3,73,26,77,70,50,67,0,,32
Pedro Neto,Winger,0,1,19.05,3,170,32,68,16.11,0,1,1,8,0,19459,62,79,3,2,69,22,63,63,51,42,1,,73
Matt Worthington08 ,CM,0,0,19.05,2,174,0,67,0.045,0,1,12,18,0,9,57,74,3,2,56,53,60,41,54,64,0,,2
Emmanuel Frimpong ,CDM,1,1,19.06,2,178,12,79,0.18,1,1,2,1,0,1037,71,80,3,2,70,66,74,57,67,79,0,,17
Henri Lansbury02 ,CM,1,0,19.06,1,183,34,71,0.105,0,1,0,5,0,6711,66,78,3,2,69,53,76,65,62,64,0,,1
Patrick van Aanholt,FB,1,1,19.06,4,176,10,70,1.27,0,1,3,2,0,11286,66,77,2,3,71,62,75,54,62,61,1,,213
Matt Phillips,Winger,0,0,19.06,3,183,5,81,1.35,1,1,7,13,0,8867,63,75,2,3,63,20,77,48,57,60,1,,142
Nile Ranger,STR,0,0,19.06,3,187,11,77,0.45,1,1,3,15,0,15391,69,76,2,1,69,23,73,70,42,52,0,,26
Gary Gardner ,CM,0,0,19.06,4,186,12,75,0,1,1,4,12,0,975,64,79,2,3,63,56,73,60,62,75,0,,16
Adam Forshaw ,CM,0,0,19.06,1,175,1,73,0.225,1,1,4,4,0,201,63,75,2,1,57,40,65,65,62,46,0,,57
Carl Jenkinson ,FB,1,0,19.06,2,182,5,71,1.01,1,1,0,1,0,897,55,64,3,2,42,60,65,25,43,56,0,,93
Marcello Trotta ,STR,0,1,19.06,1,188,6,76,0.225,0,1,2,28,0,4867,64,72,3,2,56,38,73,62,45,64,0,,1
Charalampos Mavrias A,FB,0,1,19.06,2,178,12,71,2.7,0,1,5,3,1,35538,69,75,3,3,72,30,85,63,66,57,0,,4
Matija Nastasic,CB,1,1,19.06,3,188,35,78,13.5,0,1,5,1,0,1982,62,75,3,3,36,65,63,30,37,63,0,,34
Héctor Bellerín 08,FB,1,1,19.06,3,176,21,68,1.35,0,1,3,6,1,7937,61,72,3,2,84,46,56,63,59,59,1,,183
Adama Traoré,Winger,0,1,19.06,2,174,18,85,4.5,0,1,20,10,1,16426,71,83,4,2,74,24,90,61,60,68,1,,160
Lewis Cook ,CM,0,0,19.06,2,175,27,77,6.3,0,1,5,3,1,14016,69,81,3,2,75,63,75,51,64,70,1,,74
Ivan Toney,STR,0,0,19.06,3,187,0,82,0.45,0,1,8,16,0,12392,58,66,3,2,59,45,81,51,38,70,0,,35
Kenedy  ,Winger,1,1,19.06,2,182,13,75,7.2,0,1,5,8,0,3794,60,68,3,2,62,56,64,47,57,70,0,,55
Demarai Gray,Winger,0,0,19.06,4,180,10,72,3.6,0,1,6,14,1,23120,68,81,3,2,78,23,89,64,55,52,1,,107
Ramadan Sobhi,Winger,0,1,19.06,2,183,30,71,2.25,0,1,19,41,1,56307,71,82,4,3,73,43,78,62,70,57,0,,45
Brandon Comley08 ,CDM,0,0,19.06,1,180,2,72,0.05,1,1,4,1,0,1488,61,71,2,3,61,60,63,47,58,64,0,,1
Andrew Eheriou,FB,0,1,19.06,1,172,0,72,0.025,0,1,5,12,0,-150,53,64,3,3,54,50,66,36,45,57,0,,25
Matty Longstaff ,CM,0,0,19.06,3,171,0,68,0.45,1,1,4,3,0,78,58,72,3,3,55,45,57,55,59,48,0,,14
Jordan Thomas,FB,0,0,19.06,2,176,0,66,0.045,1,1,12,9,0,-7,55,71,3,2,53,49,78,37,46,54,0,,1
Rodrigo,STR,0,0,19.07,3,181,19,70,4.05,0,1,0,11,1,1504,67,77,3,2,68,35,75,69,53,58,0,,74
Steven Caulker,CB,0,0,19.07,2,191,16,84,2.7,0,1,2,2,0,7657,70,80,2,3,63,71,74,27,56,74,1,,123
Josh Sims,Winger,0,0,19.07,3,174,14,67,0.45,0,1,3,6,1,0,61,77,2,1,66,29,79,55,56,50,0,,20
Aaron Connolly,STR,0,1,19.07,2,162,17,1,1.1,1,1,3,37,1,-153,64,79,3,2,60,20,70,64,40,57,0,,45
Max Aarons,FB,0,0,19.07,2,164,7,74,7.2,0,1,1,5,1,14253,58,77,3,2,62,56,79,37,49,54,1,,70
Ryan Noble A,STR,0,0,19.08,4,182,8,73,0.045,1,1,1,11,1,1799,64,76,3,3,63,27,79,64,46,41,0,,5
Matt Doherty,FB,0,1,19.08,2,182,2,75,0.045,0,1,1,2,0,2043,54,67,3,2,49,56,57,36,47,59,1,,107
Brad Smith ,FB,1,0,19.08,3,177,13,74,0.09,1,1,10,2,0,26,67,67,3,2,65,61,82,49,60,66,0,,5
Matt Grimes ,CM,0,0,19.08,4,178,8,69,1.8,0,1,6,5,0,9606,54,70,3,2,66,42,58,56,36,55,0,,4
Dominic Calvert-Lewin,STR,0,0,19.08,3,189,3,81,0.9,0,1,3,13,1,8697,63,79,3,3,65,30,81,61,47,59,1,,163
Diogo Dalot,FB,1,0,19.08,3,182,66,71,13.5,0,1,9,4,1,7758,68,83,3,2,68,65,73,48,52,71,0,,44
Emmanuel-Thomas,STR,1,0,19.09,2,191,4,80,0.27,1,1,13,20,0,4322,68,77,2,3,66,39,7,64,57,71,0,,7
Danny Rose,FB,0,0,19.09,4,168,39,75,0.9,1,1,6,2,0,8820,70,77,3,2,72,44,80,65,62,57,1,,202
Nathan Baker,CB,0,0,19.09,3,186,9,83,0.9,1,1,1,0,0,2738,64,77,3,2,30,64,61,24,51,66,1,,79
Kyle Walker,FB,0,0,19.09,3,180,13,73,5.31,0,1,7,0,1,8120,74,83,3,2,73,74,85,54,69,75,1,,336
Nathaniel Chalobah02  ,CDM,0,0,19.09,2,185,53,76,3.6,0,1,2,5,1,14088,68,83,2,1,75,50,62,70,67,70,0,,51
Anthony Martial,Winger,1,1,19.09,2,180,51,78,22.5,0,1,6,33,1,26168,82,90,2,3,87,42,91,79,70,76,1,,175
Kevin Toner,CB,0,0,19.09,4,180,8,82,0.09,1,1,0,1,0,-348,62,74,2,1,42,62,65,34,38,65,0,,4
Mason Holgate,CB,0,0,19.09,1,185,7,78,0.9,1,1,2,4,0,5858,61,80,3,2,61,62,71,42,50,69,1,,118
Gabriel Jesus,STR,1,1,19.09,3,175,24,71,22.5,0,1,6,28,1,98077,81,92,3,2,87,26,87,79,71,67,1,,159
Dan Agyei,STR,0,1,19.09,3,183,0,76,0.068,1,1,2,5,0,-20,60,76,3,3,59,25,80,56,42,69,0,,3
Yan Valery,FB,0,1,19.09,2,180,14,72,0.9,0,1,10,10,0,840,59,70,3,3,61,61,61,34,40,56,0,,42
Martin Kelly,FB,1,0,19.1,3,190,9,80,0.3,1,1,1,2,1,2688,71,76,3,2,58,71,74,33,57,72,1,,154
Derrick Williams,CB,0,0,19.1,2,180,5,79,0.065,1,1,0,1,0,-115,60,73,3,2,32,60,65,22,25,68,0,,1
Jonathan Williams ,CAM,0,0,19.1,1,163,29,64,2.25,0,1,9,1,0,2266,69,83,4,4,77,41,83,61,63,64,0,,12
Jarrod Bowen,Winger,0,0,19.1,2,169,0,67,0.225,1,1,1,1,1,19148,55,81,2,3,56,27,63,52,48,56,1,,94
Reece James,FB,1,0,19.1,2,182,23,80,6.3,1,1,17,9,1,3242,56,87,3,3,59,57,59,39,48,48,1,,82
Wesley Fofana07,CB,0,1,19.1,2,190,3,78,9,0,1,0,2,1,6040,64,79,3,3,41,65,59,35,44,66,1,,35
Rhys Williams,CB,1,0,19.1,2,195,4,76,0.9,1,1,0,1,0,3,62,81,3,2,52,60,62,35,49,68,0,,9
Jordan Spence,FB,0,0,19.11,3,189,42,76,0.2,0,1,1,2,0,6551,66,78,3,2,41,69,70,38,47,68,0,,7
Oriol Romeu ,CDM,1,1,19.11,1,179,28,76,4.14,0,1,0,3,1,3910,68,78,2,1,55,67,61,33,50,77,1,,238
Rubén Rochina,Winger,0,1,19.11,3,182,9,67,0.405,0,1,2,13,0,476,63,72,3,2,65,28,67,63,56,66,0,,22
Kurt Zouma ,CB,1,1,19.11,1,190,39,84,9,0,1,1,9,1,19287,74,84,3,3,74,49,57,54,74,79,1,,189
Dominic Solanke ,STR,1,0,19.11,1,186,70,78,2.7,1,1,7,81,1,11689,65,83,4,3,67,25,75,64,52,56,1,,63
Cameron Brannagan  ,CM,1,0,19.11,3,167,4,65,0.09,1,1,7,6,0,2158,60,76,2,3,61,44,68,46,62,53,0,,3
Nikola Vlasic ,CAM,0,1,19.11,1,178,40,71,3.6,0,1,17,21,0,28629,67,82,3,3,70,31,76,63,63,61,0,,31
Callum Slattery ,CM,0,0,19.11,2,180,15,70,0.045,1,1,3,2,0,35,61,78,3,3,57,60,62,57,57,66,0,,15
Mark Travers,GK,0,0,19.11,3,191,16,79,0.115,1,1,0,0,0,1661,57,73,3,2,59,31,60,58,60,57,0,,3
Owen Otasowie ,CDM,0,1,19.11,2,190,1,75,0.225,1,1,1,1,0,1099,57,73,3,2,59,31,60,58,60,57,0,,6
Saido Berahino,STR,0,0,20,4,174,36,77,0.225,0,1,8,44,0,13968,60,73,3,4,62,29,75,61,49,59,1,,133
Renato Sanches ,CM,0,1,20,4,176,43,72,19.8,0,1,2,12,1,71751,78,90,2,1,79,72,82,72,70,84,0,,12
Wilfred Ndidi06 ,CDM,0,1,20,2,183,19,77,15.84,0,1,2,4,0,51615,60,76,3,2,45,63,79,27,43,74,1,,165
Obbi Oulare,STR,0,1,20,2,196,11,84,4.5,0,1,4,18,0,6860,69,79,3,2,61,27,74,65,56,70,0,,2
Marcos Alonso,FB,1,1,20,2,188,4,75,1.35,0,1,0,3,0,3837,67,80,3,3,62,65,77,52,68,67,1,,179
Shane Duffy,CB,0,1,20,2,193,23,86,0.675,0,1,0,8,1,1782,67,78,3,2,38,71,57,32,44,68,1,,114
Joe Riley03,FB,0,0,20,1,182,0,73,0.105,1,1,5,4,0,255,67,76,3,2,65,63,67,58,61,62,0,,3
Jay Fulton ,CM,0,0,20,3,178,14,74,0.18,0,1,6,5,0,13648,70,81,3,2,66,70,65,54,63,73,0,,19
Jamar Loza City,STR,0,1,20,3,178,3,67,0.135,0,1,1,4,0,86,56,70,3,2,34,26,83,33,56,60,0,,1
Ola Aina 05,FB,0,1,20,1,184,35,81,0.45,0,1,5,20,0,622,60,71,4,2,59,60,75,35,46,61,0,,34
Hiram Boateng ,CM,0,1,20,2,183,0,73,0.045,1,1,2,0,0,7209,57,73,2,3,59,49,72,42,55,72,0,,1
Jordan Lyden ,CM,0,0,20,2,183,2,75,0.045,0,1,6,6,0,-300,56,71,2,1,59,53,61,49,54,59,0,,4
Ben Chilwell,FB,0,0,20,2,178,12,68,0.9,0,1,4,3,1,2982,61,77,3,2,63,63,80,32,47,59,1,,133
Will Smallbone ,CM,0,0,20,2,181,7,69,0.9,1,1,2,12,0,-60,65,80,3,3,70,56,70,61,63,45,0,,16
Niels Nkounkou,FB,0,1,20,1,180,3,71,0.243,0,1,5,4,0,1481,61,80,3,3,61,53,81,41,52,65,0,,2
Fraser Fyvie ,CM,0,0,20.01,3,172,9,70,0.9,1,1,7,2,0,10492,56,72,3,2,64,56,70,52,63,52,0,,1
Hamza Choudhury ,CDM,0,0,20.01,1,174,5,71,0.225,1,1,0,1,0,3867,64,76,3,2,60,63,74,44,56,71,0,,53
Tyreke Johnson ,Winger,0,0,20.01,1,183,0,75,0.09,1,1,0,2,0,41,59,75,3,3,62,29,70,53,55,42,0,,3
Mario Balotelli,STR,1,1,20.02,4,185,20,80,13.5,0,1,15,33,1,72566,81,87,3,2,84,29,84,80,71,74,1,,70
Conor Coady ,CB,1,0,20.02,2,185,35,80,3.15,1,1,1,8,1,176,59,78,3,2,52,56,66,54,50,64,1,,152
Bertrand Traoré ,Winger,1,1,20.02,1,182,18,73,3.6,0,1,10,46,1,3055,74,85,3,2,78,32,85,75,72,71,0,,55
Bebé,Winger,1,1,20.02,4,190,6,74,0.09,0,1,0,1,0,0,65,78,3,2,61,24,69,61,54,69,0,,2
Joe Dodoo,Winger,0,1,20.02,4,186,1,76,0.125,0,1,2,9,0,2134,60,73,3,2,62,19,83,58,40,55,0,,1
Oliver McBurnie,STR,0,0,20.02,4,188,16,80,0.225,1,1,7,26,1,4506,62,78,2,1,53,21,70,62,44,59,0,,75
José Campaña ,CM,0,1,20.02,3,179,28,75,1.8,0,1,6,13,0,3388,70,81,3,2,72,61,61,50,71,60,0,,6
Aaron Wan-Bissaka,FB,0,0,20.02,1,183,1,73,0.9,1,1,0,0,0,8745,59,75,3,3,63,30,73,56,52,49,1,,131
Dong-won Ji A,STR,0,1,20.02,3,187,25,72,0.81,0,1,3,7,0,21095,67,75,3,2,68,29,72,63,58,57,0,,4
Francis Coquelin ,CDM,1,0,20.03,3,173,36,72,1.17,0,1,2,3,1,3054,68,82,3,2,67,66,70,48,54,65,1,,105
Edu Campabadal,FB,0,1,20.03,2,178,14,74,0.18,0,1,6,4,0,-185,59,70,4,2,46,58,73,18,42,62,0,,1
Javier Manquillo ,FB,1,1,20.03,3,178,15,68,5.4,0,1,1,0,0,9591,70,80,2,1,83,42,62,69,68,69,1,,122
Massadio Haidara,FB,0,1,20.03,2,179,8,76,1.8,0,1,5,12,0,8423,69,79,3,3,69,67,78,59,60,74,0,,38
Tom Lawrence,Winger,1,0,20.03,2,175,11,71,0.9,0,1,6,16,0,3664,55,63,3,3,58,35,62,60,51,60,0,,4
Richarlison,STR,0,1,20.03,3,184,10,76,11.16,0,1,11,23,1,20384,73,85,3,2,77,25,81,70,60,74,1,,172
Jake Vokins,FB,0,0,20.03,3,180,16,69,0.105,0,1,14,3,0,-859,57,71,4,3,60,55,70,36,44,57,0,,2
Dominic Gape  ,CDM,0,0,20.03,1,180,0,72,0.105,1,1,4,0,0,1301,58,70,3,2,54,45,59,59,59,64,0,,1
Jake Livermore04 ,CDM,0,0,20.04,1,181,0,80,0.9,0,1,1,0,0,1176,66,76,3,2,66,53,70,62,68,74,1,,196
Tyler Blackett,FB,1,0,20.04,3,188,8,74,0.45,1,1,1,6,0,1484,64,73,3,2,72,38,61,51,62,70,0,,11
Divock Origi ,STR,1,1,20.04,3,185,36,78,8.1,0,1,5,26,1,67509,75,85,2,3,75,30,85,69,67,64,1,,107
Dodi Lukébakio,Winger,0,1,20.04,1,187,17,74,1.08,0,1,8,10,0,16011,67,80,3,3,75,19,80,58,61,40,0,,1
Scott McTominay ,CDM,1,0,20.04,2,193,0,81,0.9,1,1,0,3,0,12269,66,76,3,3,66,53,70,62,68,74,1,,120
Tyias Browning,CB,0,0,20.04,3,187,8,78,0.65,1,1,0,0,0,38,61,69,3,2,66,53,56,56,59,66,0,,7
Mesca ,FB,0,1,20.04,3,175,23,72,0.09,0,1,23,2,0,426,60,69,3,2,56,52,77,48,52,59,0,,1
Kyle Walker-Peters,FB,0,0,20.04,3,169,28,67,0.9,1,1,3,3,0,313,58,74,2,1,58,53,73,25,46,51,0,,84
Oliver Burke,STR,0,0,20.04,3,188,6,73,6.3,1,1,5,8,0,25040,60,78,3,2,62,30,86,52,52,57,0,,40
Harvey Barnes ,Winger,0,0,20.04,2,174,10,73,1.35,0,1,9,23,1,24990,55,83,4,2,57,44,68,49,53,47,1,,112
Marko Grujic  ,CDM,1,1,20.04,3,191,32,79,0.45,0,1,2,8,0,45326,71,85,3,2,67,70,72,68,67,77,0,,8
Demetri Mitchell,FB,1,0,20.04,2,176,18,63,0.09,1,1,18,15,0,1371,64,80,3,2,68,60,73,59,59,58,0,,1
Demeaco Duhaney03,FB,0,1,20.04,1,179,3,70,0.09,1,1,0,0,0,-6,60,76,4,2,59,57,70,33,48,64,0,,23
Konstantinos Mavropanos01,CB,1,1,20.04,2,194,0,78,0.405,0,1,2,5,0,4019,68,83,2,3,43,69,70,33,48,64,0,,7
Jayden Bogle,FB,0,0,20.04,4,178,3,69,3.47,0,1,18,13,0,16311,69,84,2,1,72,66,56,33,42,72,0,,16
Stefano Okaka,STR,0,1,20.05,4,186,15,75,3.6,0,1,3,20,0,21995,71,83,3,3,56,34,80,43,62,61,0,,47
